text,label,language
ini sudah keterlaluan,3,id
I am deeply infuriated,3,en
he was so cruel to me,0,en
hatiku sangat terkejut dengan berita ini,5,id
gue sangat tidak menduga takdir bisa seindah ini,5,id
today I choose to be happy,1,en
hatiku tidak pernah membayangkan ini,5,id
hatiku sangat terkejut sampai jantung berdebar,5,id
I was so productive today,1,en
I never expected he could change,5,en
aku sangat marah karena kejujuranku dimanfaatkan,3,id
aku sangat senang kumpul keluarga,1,id
I feel cherished because of you,2,en
aku sangat senang sekali,1,id
diriku merasa tidak dicintai,0,id
gue sangat tidak berani berharap karena takut sakit hati,4,id
I feel so valued,1,en
gue sangat merasa sudah tidak berguna,0,id
maaf bikin kamu repot,0,id
I am so blown away,5,en
I should not have done that,0,en
aku sangat penuh energi,1,id
saya sangat cemas,4,id
I feel so unwanted,0,en
I am so shocked you appeared suddenly,5,en
diriku sangat beruntung,1,id
gue sangat takut sendirian,4,id
aku sangat takut malam hari,4,id
aku menyesal banget,0,id
diriku sangat naik darah,3,id
I care for you deeply,2,en
hatiku sangat nervous,4,id
aku sangat bahagia mendengar kamu baik baik saja,1,id
aku sangat takut kehilangan kamu,4,id
my heart was racing from the shock,5,en
I regret leaving you,0,en
the world feels beautiful,1,en
aku merasa diabaikan semua orang,0,id
ini benar benar tidak terbayangkan,5,id
I want to build a life with you,2,en
aku sangat menghargai momen ini,1,id
aku sangat cemas dengan masa depan,4,id
aku sangat ingin melawan,3,id
kamu tidak peduli perasaanku,0,id
aku sangat marah karena tidak bisa berbuat apa apa,3,id
hatiku sangat ragu dan cemas,4,id
aku sangat merasa tidak didengar,0,id
aku sangat puas,1,id
I feel so peaceful,1,en
aku sangat marah pada diri sendiri juga,3,id
my spirit is so content,1,en
I feel deeply elated,1,en
aku sangat panik dan tidak bisa berpikir,4,id
I am so proud,1,en
saya sangat terkejut dengan kejutan indah ini,5,id
kamu sangat peduli,1,id
aku tidak bisa hidup tanpamu,0,id
aku sangat layu,0,id
diriku sangat tidak menyangka,5,id
I am so grateful life is this beautiful,1,en
I am so scared to make this decision,4,en
aku sangat merasa bersinar hari ini,1,id
aku sangat bangga dengan pencapaianku,1,id
I am so lost,0,en
aku sangat bersyukur memilikimu,2,id
saya sangat ingin melawan,3,id
I feel deeply dumbfounded,5,en
I am shocked by this tragic news,5,en
aku sangat tidak mau menerima kehilangan ini,0,id
aku sangat tidak menyangka mendapat promosi,5,id
saya sangat tidak setuju,3,id
gue terus menangis,0,id
I cannot be far from you,2,en
aku sangat merasa tidak berarti,0,id
aku sangat cemas dengan keselamatan,4,id
I love you with all of my heart and soul,2,en
I should not have said that,0,en
I cannot bear to carry this sorrow,0,en
I am so lucky to know you,2,en
gue sangat mencintai dirimu melebihi apapun,2,id
I am haunted by this fear,4,en
saya sangat berterima kasih,1,id
my heart mourns endlessly,0,en
diriku sangat suka tawamu,2,id
saya sangat termotivasi,1,id
I think about you always,2,en
I am so tired of being sad,0,en
aku sangat berduka mendalam,0,id
please forgive me,0,en
you never leave my side,1,en
aku sangat menyesali perbuatanku,0,id
I feel so completely overjoyed,1,en
aku sangat takjub banget,5,id
I feel deeply absolutely furious,3,en
you have such a good heart,1,en
diriku sangat kaget sekaligus bahagia,5,id
aku sangat merasa dicintai,1,id
I deeply admire your kindness,2,en
I am chilled with fear,4,en
aku rindu banget sama kamu,2,id
I feel deeply desolate,0,en
I am so anxious thinking about the future,4,en
I am sorry I betrayed you,0,en
hatiku sangat suka ini,1,id
hidupku terasa sangat gelap,0,id
aku sangat tidak menyangka mendapat berita ini,5,id
aku sangat marah,3,id
I feel completely ignored,0,en
I feel paralyzed by fear,4,en
maaf aku sudah bikin kamu nangis,0,id
gue sangat bersemangat hari ini,1,id
aku sangat menghargai kehadiranmu dalam hidupku,2,id
aku sangat kaget melihatnya,5,id
saya mencintaimu apa adanya,2,id
I feel so beyond angry,3,en
saya sudah sangat muak bersabar dengan orang yang tidak berubah,3,id
gue merasa sangat diinjak harga dirinya,3,id
aku menerima kamu seutuhnya,2,id
I cannot calm down because anxiety keeps coming,4,en
I feel so overwhelmed by fear,4,en
gue sangat murung,0,id
I am deeply totally speechless,5,en
saya sangat pucat karena takut,4,id
I am absolutely terrified,4,en
why did you lie to me,0,en
I feel so uneasy,4,en
gue sangat pilu,0,id
thank you for listening,1,en
hatiku sangat lemas karena takut,4,id
aku sangat produktif hari ini,1,id
dia tega banget,0,id
gue sangat hancur,0,id
hatiku selalu memikirkanmu,2,id
joy feels so far away,0,en
aku sangat sendu,0,id
I feel truly astonished,5,en
I am so happy you succeeded,1,en
sorry for causing trouble,0,en
aku sangat tersenyum lebar,1,id
saya sangat tertawa lepas bahagia,1,id
my will is broken,0,en
aku tidak ada yang memahami aku,0,id
aku sangat tidak bisa tenang karena terus menerus cemas,4,id
gue kejutan ini sangat tidak terduga namun sangat berharga,5,id
kamu lebih baik dari yang aku kira,1,id
diriku tidak pernah membayangkan ini,5,id
you are my favorite person,2,en
diriku menerimamu seutuhnya,2,id
diriku sangat ketakutan,4,id
diriku sangat puas,1,id
gue sangat sendu,0,id
I am so lost and grieving,0,en
maaf bikin kamu nangis,0,id
diriku sangat cemas dengan keselamatan,4,id
I am so happy to hear this good news,1,en
maaf aku sudah bikin kamu marah,0,id
I feel deeply taken aback,5,en
gue sangat terkejut melihat betapa jauh aku sudah melangkah,5,id
I am absolutely shocked,5,en
aku sangat sayang pada ayahku,2,id
aku sangat riang gembira,1,id
I am completely caught off guard,5,en
this sadness is suffocating me,0,en
this surprise left me completely speechless,5,en
I love you with all my heart,2,en
I feel like my presence is unnecessary,0,en
how are you so kind,1,en
aku sangat panik banget,4,id
saya sangat tersenyum lebar tak terbendung,1,id
diriku sangat kesal,3,id
I feel deeply content,1,en
aku sangat merasa diberkati luar biasa,1,id
diriku sangat minder,4,id
I am deeply joyful,1,en
diriku sangat kagum,5,id
I am so shocked by this announcement,5,en
saya sangat marah karena dihina,3,id
I feel so dumbfounded,5,en
gue sangat sedih,0,id
aku sangat takut berbicara di depan umum,4,id
saya sangat merasa dihargai,1,id
I am consumed by fear,4,en
I am so sick of hearing this,3,en
gue sangat suka kehadiranmu,2,id
I love creating things,1,en
I feel so dejected,0,en
aku menyayangimu,2,id
aku sangat cemas karena tidak tahu apa yang akan terjadi,4,id
ketidakpastian ini sangat membuatku takut,4,id
ini sudah sangat tidak bisa ditoleransi,3,id
I feel deeply absolutely stunned,5,en
kamu adalah orang terbaik dalam hidupku,2,id
you are my source of happiness,2,en
diriku sangat lega,1,id
saya sangat emosi,3,id
saya tidak bisa menahan amarah,3,id
I feel so apprehensive,4,en
aku tidak bisa percaya ini nyata,5,id
you are so cruel,0,en
I feel so full of gratitude,1,en
kamu selalu menyakiti perasaanku,0,id
saya sangat memujamu,2,id
happiness came unexpectedly today,1,en
aku sangat merindukan dia,0,id
I am so happy with the result,1,en
I cannot forget you,0,en
I am so worried,4,en
I feel no joy,0,en
aku sangat bersyukur doa doaku terjawab,1,id
aku sangat suka ini,1,id
I am so relieved I got through this,1,en
I am terrified all my efforts will be in vain,4,en
this is the best day ever,1,en
gue ini benar benar tidak terduga,5,id
I feel so completely shocked,5,en
I feel so alone facing this hardship,0,en
diriku sangat ingin melawan,3,id
cintamu sangat menyembuhkanku,2,id
life is beautiful,1,en
I am lucky to have you,1,en
hatiku sangat takut masa depan,4,id
aku masih menangisi kamu,0,id
gue sangat merasa tidak ada yang peduli padaku,0,id
you are so understanding,1,en
kamu adalah segalanya bagiku,2,id
aku sangat tersesat dan berduka,0,id
tanpamu hidupku kurang bermakna,2,id
aku sangat terkejut karena tiba tiba kamu muncul,5,id
aku sangat ingin bersamamu lagi,2,id
aku sangat marah karena tidak dihargai,3,id
I am deeply motivated,1,en
I will not let this happen again,3,en
aku tidak bisa move on,0,id
you have no self-awareness,3,en
I refuse to accept this disrespect,3,en
aku sangat terkejut dan sangat senang,5,id
aku sangat merayakan ini,1,id
I am speechless right now,5,en
aku sangat terluka dengan tindakanmu,0,id
diriku sangat merasa dihargai,1,id
aku sangat marah karena sudah berusaha keras namun tetap diremehkan,3,id
aku sangat tidak bisa tersenyum dengan tulus,0,id
gue sangat bimbang dan takut,4,id
I am furious at this broken system,3,en
kamu sangat jahat,0,id
I carry this sadness everywhere,0,en
I am so cautious at every step,4,en
aku sangat marah karena sudah terlalu sabar namun tetap disalahkan,3,id
I am triggered,3,en
aku sangat lesu,0,id
I like your kindness,1,en
gue sangat marah karena sudah terlalu sabar namun tetap disalahkan,3,id
aku sangat mencintai caramu menyayangiku,2,id
I feel unloved,0,en
aku sangat merasa semua perjuanganku terbayar,1,id
diriku sangat diselimuti rasa takut,4,id
aku merasa sangat sepi,0,id
I am scared of the night,4,en
aku sangat tidak kuasa menahan tangis,0,id
aku kagum dengan kamu,1,id
aku sangat rindu kamu,2,id
I never expected this could happen in my life,5,en
aku sangat terkejut dengan berita ini,5,id
I love the way you talk,2,en
cintaku padamu sangat ikhlas,2,id
I feel deeply overjoyed,1,en
without you I am incomplete,2,en
aku kejutan ini sangat tidak terduga namun sangat indah,5,id
hatiku merasa sendiri,0,id
saya sangat rindu padamu,2,id
gue sangat bersyukur kamu memilihku,2,id
aku tidak menyangka kamu bisa mengkhianatiku,0,id
I am so anxious,4,en
this is so surprising to me,5,en
aku sangat terkejut sampai tidak bisa bergerak,5,id
aku sangat tertegun,5,id
diriku selalu mendoakanmu,2,id
wah kamu suka sama aku,1,id
gue sangat cemas dengan keselamatan,4,id
why are you so cruel to me,0,en
my heart is heavy with grief,0,en
kepergiannya sangat menyakitiku,0,id
maaf aku sudah mengkhianatimu,0,id
I am so annoyed with you,3,en
aku sangat merasa tiada guna,0,id
maaf aku salah,0,id
your care means the world to me,1,en
gue sangat tidak menduga hidup bisa membawa kejutan seperti ini,5,id
saya sangat tidak bisa berhenti menangis,0,id
saya sangat merasa tidak ada yang mengerti perasaanku,0,id
I feel so lucky,1,en
saya sangat terpuruk,0,id
kamu adalah teman terbaik,1,id
aku sangat dendam padamu,3,id
I am deeply truly astonished,5,en
aku tidak bisa menahan diri,3,id
aku hancur karena kamu pergi,0,id
you are my home,2,en
I love being with family,1,en
dia tidak peduli padaku,0,id
saya sangat membenci sikap itu,3,id
I am so angry about all of this,3,en
gue sangat kreatif,1,id
my heart beats for you,2,en
I feel pure bliss,1,en
kamu tidak punya perasaan,0,id
I am shocked to see how strong she truly is,5,en
