text,label
gue patah hati,0
I feel so uneasy,4
gue sangat takut luka lama terbuka,4
hatiku patah hati,0
saya sangat bersemangat,1
I am absolutely thrilled,1
I feel so belittled,3
saya sangat bersyukur bisa merasakan kebahagiaan ini,1
aku sangat suka pagi ini,1
saya sangat tidak berani berharap karena takut sakit hati,4
diriku sangat merayakan ini,1
I am so completely broken,0
I am so shocked I cannot speak,5
saya sangat tidak adil,3
fear grips my heart,4
I feel so horrified,4
aku merasa sangat terancam,4
diriku sangat pilu,0
my heart is permanently broken,0
I cannot come to terms with this loss,0
you complete me,2
I am so panicked,4
I am beyond angry,3
gue sangat senang karena berhasil melampaui ekspektasi,1
I cannot bear this sadness,0
I am so frightened,4
I am still processing this,5
gue sangat trauma,4
aku sangat suka petualangan ini,1
saya sangat menantikan ini,1
I am crying alone,0
aku tidak bisa percaya ini nyata,5
I am so frustrated,3
I am deeply absolutely furious,3
I lost everything,0
aku sangat menikmati waktu bersamamu,2
I feel so content,1
diriku merasa nyaman bersamamu,2
hatiku sangat bahagia bersamamu,2
hari ini sangat indah,1
you are my favorite adventure,2
I am so blown away,5
aku sangat terguncang,0
you make my life more meaningful,2
diriku sangat merasa beruntung,1
hatiku sangat takut kehilangan semua,4
kamu sangat keterlaluan,3
gue sangat tidak mau lagi berpura pura tidak sakit hati,3
aku sangat menikmati pekerjaanku,1
aku sangat gugup tampil,4
I feel deeply wounded inside,0
hatiku sangat senang bersamamu,2
aku sangat merasa tidak didengar,0
I never anticipated rising from all those trials,5
I love the way you talk,2
I deeply admire your strength,2
gue sangat menyayangimu tulus,2
I am beyond surprised,5
gue sangat tidak mau lagi diam saja ketika disakiti,3
I feel deeply optimistic,1
gue sangat rindu padamu,2
aku sangat takut untuk bersuara,4
I am sad,0
gue sangat hancur,0
I won,1
saya sangat rindu padamu,2
I am so optimistic,1
I my anger is boiling right now,3
aku tidak ada yang menemani,0
this is a delightful surprise,5
aku sangat terperangah banget,5
I feel deeply hollow,0
aku sangat terkejut dengan kemurahan hatinya,5
my spirit weeps constantly,0
aku sangat rapuh,0
aku sangat membutuhkanmu,2
gue merasa tidak dicintai,0
I am overwhelmed with anger,3
aku sangat takut kegelapan malam,4
I cannot live without you,0
I am so confused and sad,0
aku sayang banget sama kamu,2
you are my soulmate,2
I feel no joy,0
kamu membuat segalanya lebih baik,2
I am utterly amazed,5
aku tidak bahagia,0
I am so worried about my safety,4
I love my life with you,2
hatiku sangat cemas dengan masa depan,4
aku sangat terbawa amarah,3
diriku sangat takut luka lama terbuka,4
I feel protected because of you,2
aku sangat tidak mau lagi menerima perlakuan seperti ini,3
my spirit soars with joy,1
my love for you is immense,2
aku sangat takut dihakimi orang lain,4
hatiku sangat nervous,4
aku sangat kesedihan,0
hatiku ini benar benar tidak terduga,5
diriku sangat bersinar hari ini,1
aku sangat sayang padamu,2
saya sangat pucat karena takut,4
I am deeply deeply grieving,0
I feel so threatened,4
I am scared of the future,4
I feel so heartbroken,0
tanpamu hidupku kurang bermakna,2
I strongly condemn this,3
I am deeply taken aback,5
I am so tired of this,3
diriku sangat menikmati ini,1
I am very satisfied with the result,1
I feel so dejected,0
I am still in shock,5
I am so happy with you,2
dunia terasa sangat indah,1
I am so happy you succeeded,1
I feel so used,3
aku sangat ingin melihatmu,2
you frustrate me so much,3
I feel so humiliated inside,0
I am so sorrowful,0
hatiku akan selalu mencintaimu,2
gue sangat tidak terima kontribusiku tidak pernah diapresiasi,3
aku sangat senang bisa tertawa,1
I am so full of rage,3
aku sangat tidak aman,4
aku sangat produktif hari ini,1
aku sangat tidak semangat hidup,0
aku merasa hidup sia sia,0
aku sangat mencintai kamu apa adanya,2
aku sangat resah,4
aku sangat jijik dengan kelakuanmu,3
my spirit is so content,1
aku sangat mencintaimu sepenuh hati,2
hatiku sangat takut tidak mampu,4
I adore you unconditionally,2
saya sangat tidak aman,4
I am deeply lonely,0
I am deeply afraid,4
gue kecemasan ini sangat membuatku tidak bisa maju,4
saya sangat tidak menyangka,5
aku sangat teriris hatinya,0
I love laughing together like this,1
my soul is so content,1
this worry consumes me,4
saya sangat cemas karena masa depan terasa sangat tidak pasti,4
aku cemas banget,4
you are my life's priority,2
I feel deeply irritated,3
I was so hurt by that attitude,0
I have lost hope,0
astaga aku sangat terkejut,5
I feel in total shock,5
I am so angry,3
aku merasa sangat lelah jiwa,0
aku merasa terbebani,0
I have goosebumps,4
gue kejutan ini sangat tidak terduga namun sangat indah,5
gue sangat ingin membuktikan betapa aku cinta kamu,2
aku sangat menolak ini,3
aku sangat terkejut dan sangat bahagia,5
I appreciate my life,1
happiness came unexpectedly today,1
kamu adalah kekuatanku,2
I am anxious because I do not know what will happen,4
saya sangat tidak menyangka bisa lulus,5
saya sudah tidak bisa memaafkan,3
aku sangat bahagia bersamamu,2
I am so paralyzed by fear,4
aku sangat tidak sabar berbagi kebahagiaan ini,1
diriku sangat menyukai ini,1
diriku sangat merindukanmu,2
I feel so truly astonished,5
I never thought I could come this far,5
diriku sangat gugup tampil,4
aku kecemasan ini sangat membuatku tidak berdaya,4
aku sangat diluar dugaan,5
saya sangat bersyukur semua berjalan dengan baik,1
I look forward to this,1
I am deeply panicked,4
my soul is in pieces,0
I am fighting against this,3
this surprise left me utterly stunned,5
I am anxious because I cannot control the situation,4
I am anxious thinking about all the bad possibilities,4
I feel so abandoned,0
this surprise left me disbelieving,5
aku sangat mengagumi kekuatanmu,2
I am so apprehensive about this decision,4
I feel so broken,0
diriku sangat terpana,5
I feel deeply dumbfounded,5
gue merasa diabaikan,0
gue sangat tidak bisa tenang karena terus menerus cemas,4
aku sangat ingin membuktikan betapa aku sayang kamu,2
hatiku sangat terpana,5
kamu adalah semangatku,2
hatiku merasa sangat dilecehkan,3
aku sangat merasa dijawab doaku,1
kamu adalah harapanku,2
I am deeply beyond surprised,5
diriku sangat nervous,4
saya sangat merasa kehadiranku tidak diinginkan,0
saya sangat merayakan ini,1
gue sangat bersyukur kamu mau bersamaku,2
I feel so defeated,0
aku sangat suka momen kebersamaan ini,1
saya sudah habis sabar,3
I am so deeply grieving,0
kamu adalah tempatku pulang,2
I feel beyond surprised,5
hatiku merasa tidak berguna,0
kamu adalah prioritasku,2
aku sangat menikmati perjalanan ini,1
aku rindu banget sama kamu,2
I was so productive today,1
