text,label
Serius tidak percaya ini nyata,5
Di luar ekspektasi banget,5
Aku bahagia banget sekarang,1
Perasaanku gembira banget,1
Kaget banget diajak liburan mendadak,5
Aku penuh semangat dan kebahagiaan,1
Tidak nyangka bisa dapat ini,5
Kaget banget dibeliin iphone sama mama,5
Kaget banget dapat promosi dadakan,5
Kaget banget waktu lihat hasilnya,5
Senang deh bisa liburan,1
Astaga tidak percaya ini terjadi,5
Ulang tahunku hari ini dan aku sangat senang,1
Seneng parah deh pokoknya,1
Aku melongo kaget sekali,5
Aku excited banget hari ini,1
Aku tercengang dengan kejutan ini,5
Alhamdulillah dapat rejeki hari ini,1
Senang deh bisa liburan,1
Alhamdulillah bahagia banget,1
Hari ini cuaca cerah dan aku senang,1
Rasanya senang bisa berkontribusi,1
Aku syok dan kaget berbarengan,5
Aku merasa senang dan bahagia,1
Hari paling seneng seumur hidup,1
Wah ternyata begini hasilnya,5
Kaget banget waktu lihat hasilnya,5
Wow aku tidak percaya ini nyata,5
Aku merasa bahagia dan bersyukur,1
Aku senang karena mimpi burukku tidak jadi kenyataan,1
Gila ga nyangka banget ini,5
Aku serius tidak nyangka bisa begini,5
Aku takjub ternyata bisa seindah ini,5
Aku girang karena impianku tercapai,1
Menyenangkan banget hari ini,1
Aku tidak percaya masih bisa begini,5
Aku takjub lihat hasilnya,5
Kaget banget diajak liburan mendadak,5
"Naik jabatan, aku senang sekali",1
Astaga kaget banget aku,5
Melongo banget lihat kenyataan ini,5
Hati ini penuh kebahagiaan,1
Waktu yang menyenangkan banget,1
Anjir kaget parah sumpah,5
Aku kaget karena tidak menyangka bisa begini,5
Beneran ga nyangka bisa begini,5
Aku lega dan bahagia akhirnya,1
Wkwk seneng banget sih hari ini,1
Astaga kaget banget aku,5
Perasaanku bahagia sekali,1
Aku excited banget hari ini,1
Lega deh semuanya beres,1
Kaget banget diajak liburan mendadak,5
Perasaanku bahagia sekali,1
Astaga tidak nyangka sama sekali,5
Aku bersyukur dan bahagia banget,1
Ga nyangka banget dapat surprise ini,5
Hari ini aku merasa sangat senang,1
Aku senang karena dapat hadiah,1
Aku benar-benar senang hari ini,1
Bahagia deh bisa ketemu teman lama,1
Aku seneng dapat nilai bagus,1
Kejutan ini bikin aku kaget banget,5
Tidak percaya banget ini nyata,5
"Proyek selesai tepat waktu, aku senang",1
Melongo deh lihat betapa bagusnya ini,5
Berita yang sangat mengejutkan,5
Terkejut lihat apa yang terjadi,5
Aku terkejut karena di luar dugaan,5
Hari ini adalah hari yang membahagiakan,1
Kaget banget waktu tau aku lulus cum laude,5
Waktu yang menyenangkan banget,1
Tiba-tiba dia muncul dan aku kaget,5
Aku sangat bersuka cita hari ini,1
Astaga tidak nyangka sama sekali,5
Aku lega karena dapat kabar baik,1
Rasanya senang bisa berkontribusi,1
Gila seneng banget sumpah,1
Tidak nyangka tiba-tiba dapat transferan,5
Kebahagiaanku hari ini sangat besar,1
Aku lega dan bahagia akhirnya,1
Sungguh mengejutkan apa yang terjadi,5
Aku girang banget hari ini,1
Aku bahagia lihat senyummu,1
Rasanya menyenangkan sekali bisa disini,1
Ini benar-benar di luar dugaan,5
Tak disangka hasilnya mengejutkan,5
OMG aku syok banget,5
Hari ini luar biasa menyenangkan,1
"Lulus sidang, alhamdulillah bahagia",1
Aku sangat bahagia hari ini,1
"Berhasil masak enak, aku senang",1
"Dapat promosi kerja, aku gembira",1
Menyenangkan banget hari ini,1
